FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
171010,1400,"9,10001",
171010,1500,"8,10001",
171010,1600,"7,7",
171010,1700,"8,10001",
171010,1800,"7,8",
171010,1900,"6,6",
171010,2000,"5,2",
171010,2100,"4,9",
171010,2200,"3,3",
171010,2300,"2,1",
171011,0,"1,7",
171011,100,"1,5",
171011,200,"1,3",
171011,300,"2,4",
171011,400,"3,2",
171011,500,"3,1",
171011,600,3,
171011,700,4,
171011,800,"5,4",
171011,900,"8,2",
171011,1000,"10,1",
171011,1100,"11,2",
171011,1200,"12,1",
171011,1300,"12,8",
171011,1400,"13,1",
171011,1500,"13,3",
171011,1600,"13,1",
171011,1700,"11,9",
171011,1800,"10,4",
171011,1900,"8,7",
171011,2000,8,
171011,2100,"7,3",
171011,2200,"6,8",
171011,2300,"6,3",
171012,0,"5,9",
171012,100,"6,9",
171012,200,7,
171012,300,"6,9",
171012,400,"6,8",
171012,500,"6,9",
171012,600,"6,8",
171012,700,"7,3",
171012,800,"9,60001",
171012,900,"9,5",
171012,1000,"11,1",
171012,1100,"11,8",
171012,1200,"12,3",
171012,1300,"12,9",
171012,1400,13,
171012,1500,"13,3",
171012,1600,"13,5",
171012,1700,"13,1",
171012,1800,"11,4",
171012,1900,"9,7",
171012,2000,9,
171012,2100,"8,39999",
171012,2200,"7,9",
171012,2300,"8,60001",
171013,0,"8,60001",
171013,100,"8,39999",
171013,200,"8,2",
171013,300,"8,10001",
171013,400,"8,2",
171013,500,"8,10001",
171013,600,"7,9",
171013,700,"8,3",
171013,800,9,
171013,900,"9,2",
171013,1000,"9,3",
171013,1100,"9,60001",
171013,1200,"9,10001",
171013,1300,"9,39999",
171013,1400,"9,39999",
171013,1500,"9,60001",
171013,1600,"9,5",
171013,1700,"10,2",
171013,1800,"11,3",
171013,1900,"11,2",
171013,2000,"10,3",
